order_id,symbol,side_label,side_code,order_event_ts_utc8,order_event_ts_utc,order_stage,order_model,size,entry_price,linked_decision_log_id,linked_decision_stage,linked_decision_ts_utc8,linked_decision_ts_utc,linked_action,linked_reason,linked_selected_over_corrected,match_type
717055063767384819,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T13:07:29.521+08:00,2026-02-13T05:07:29.521Z,Exit Execution,SDM:Straddle,400.0,0.2606,52347af3-9f0a-44dd-a0fc-5ba25fa5230c,Exit Decision,2026-02-13T13:07:25.976+08:00,2026-02-13T05:07:25.976Z,close_runner,,,nearest_exit_decision_symbol
717055097435063027,cmt_btcusdt,SHORT_SIDE,SHORT,2026-02-13T13:07:37.546+08:00,2026-02-13T05:07:37.546Z,Exit Execution,SDM:Straddle,0.001,66706.5,5c788235-246c-4548-8cfc-3d1be67be524,Exit Decision,2026-02-13T13:07:36.869+08:00,2026-02-13T05:07:36.869Z,close_runner,,,nearest_exit_decision_symbol
717060583697941235,cmt_solusdt,SHORT_SIDE,SHORT,2026-02-13T13:29:25.573+08:00,2026-02-13T05:29:25.573Z,Exit Execution,SDM:Straddle,0.6,83.46,69cb5037-554a-4b99-8c9a-447bac6b0986,Exit Decision,2026-02-13T13:29:22.017+08:00,2026-02-13T05:29:22.017Z,close_runner,,,nearest_exit_decision_symbol
717060679533593331,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T13:29:48.424+08:00,2026-02-13T05:29:48.424Z,Exit Execution,SDM:Straddle,400.0,0.2606,a085ef9f-9c3f-41a9-8a29-daed30dd4274,Exit Decision,2026-02-13T13:29:44.833+08:00,2026-02-13T05:29:44.833Z,close_runner,,,nearest_exit_decision_symbol
716278209418625779,cmt_solusdt,UNKNOWN,,2026-02-13T13:29:50.675+08:00,2026-02-13T05:29:50.675Z,Exit Decision,PositionMonitor,0.6,83.46,b51958ff-80ee-42ae-80eb-8ab88a9b4df8,Exit Decision,2026-02-13T13:29:50.675+08:00,2026-02-13T05:29:50.675Z,,,,exact_order_id
717060713675227891,cmt_btcusdt,SHORT_SIDE,SHORT,2026-02-13T13:29:56.565+08:00,2026-02-13T05:29:56.565Z,Exit Execution,SDM:Straddle,0.001,66706.5,ea845b3a-b665-436a-9638-4f414dcdadfe,Exit Decision,2026-02-13T13:29:55.877+08:00,2026-02-13T05:29:55.877Z,close_runner,,,nearest_exit_decision_symbol
717063212754797299,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T13:39:52.395+08:00,2026-02-13T05:39:52.395Z,Exit Execution,SDM:Straddle,400.0,0.2606,49bcf59b-cecf-4263-8868-8cf0474a5eca,Exit Decision,2026-02-13T13:39:48.825+08:00,2026-02-13T05:39:48.825Z,close_runner,,,nearest_exit_decision_symbol
717064633357173491,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T13:45:31.088+08:00,2026-02-13T05:45:31.088Z,Exit Execution,SDM:Straddle,400.0,0.2606,d7e28855-ad5f-4c58-aef6-eb8b501c81bd,Exit Decision,2026-02-13T13:45:27.513+08:00,2026-02-13T05:45:27.513Z,close_runner,,,nearest_exit_decision_symbol
717065019602240243,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T13:47:03.177+08:00,2026-02-13T05:47:03.177Z,Exit Execution,SDM:Straddle,400.0,0.2606,899da8d4-0587-4e36-8b7c-0a8ce478f061,Exit Decision,2026-02-13T13:46:59.571+08:00,2026-02-13T05:46:59.571Z,close_runner,,,nearest_exit_decision_symbol
717065624135664371,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T13:49:27.310+08:00,2026-02-13T05:49:27.310Z,Exit Execution,SDM:Straddle,400.0,0.2606,9cbfae35-23e5-4f56-bdc9-df4830e9476e,Exit Decision,2026-02-13T13:49:23.727+08:00,2026-02-13T05:49:23.727Z,close_runner,,,nearest_exit_decision_symbol
717065973382775539,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T13:50:50.575+08:00,2026-02-13T05:50:50.575Z,Exit Execution,SDM:Straddle,400.0,0.2606,70e73b79-aa4f-4cb1-b6b1-889ed86ca56a,Exit Decision,2026-02-13T13:50:46.995+08:00,2026-02-13T05:50:46.995Z,close_runner,,,nearest_exit_decision_symbol
717072685523272435,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T14:17:30.876+08:00,2026-02-13T06:17:30.876Z,Exit Execution,SDM:Straddle,400.0,0.2606,c8fac55f-68b1-4a83-b48e-a9c2adc3af7a,Exit Decision,2026-02-13T14:17:27.296+08:00,2026-02-13T06:17:27.296Z,close_runner,,,nearest_exit_decision_symbol
717079317468676851,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T14:43:52.054+08:00,2026-02-13T06:43:52.054Z,Exit Execution,SDM:Straddle,400.0,0.2606,cada5654-5620-4057-aa0a-73ba5e097561,Exit Decision,2026-02-13T14:43:48.500+08:00,2026-02-13T06:43:48.500Z,close_runner,,,nearest_exit_decision_symbol
717086004846002931,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T15:10:26.449+08:00,2026-02-13T07:10:26.449Z,Exit Execution,SDM:Straddle,400.0,0.2606,9c6c2b48-9f0d-4bab-9f8a-b6e9b4596caa,Exit Decision,2026-02-13T15:10:22.853+08:00,2026-02-13T07:10:22.853Z,close_runner,,,nearest_exit_decision_symbol
717092722388763379,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T15:37:08.037+08:00,2026-02-13T07:37:08.037Z,Exit Execution,SDM:Straddle,400.0,0.2606,0ff351f2-f617-4b30-a423-4fe1e8026b61,Exit Decision,2026-02-13T15:37:04.145+08:00,2026-02-13T07:37:04.145Z,close_runner,,,nearest_exit_decision_symbol
